study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,article-number
Breithaupt_et_al_2014,Breithaupt_et_al_2019_data,primary dataset,Misc,"Temporal variability of carbon and nutrient burial, sedient accretion, and mass accumulation over the past century in a carbonate platform mangrove forest of the Florida Everglades",Joshua L. Breithaupt and Joseph M. Smoak and Christian J. Sanders and III {Thomas J. Smith},NA,10.25573/serc.11310926,https://doi.org/10.25573/serc.11310926,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craft_2007,Craft_2007_article,associated source,Article,"Freshwater input structures soil properties, vertical accretion, and nutrient accumulation of Georgia and U.S tidal marshes",Christopher Craft,NA,10.4319/lo.2007.52.3.1220,https://doi.org/10.4319/lo.2007.52.3.1220,2007,may,Wiley,52,3,1220--1230,Limnology and Oceanography,NA,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2020_data,primary dataset,Misc,Dataset: Head of tide bottleneck of particulate material transport from watersheds to estuaries,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,10.25573/SERC.13483332,https://smithsonian.figshare.com/articles/dataset/Dataset_Head_of_tide_bottleneck_of_particulate_material_transport_from_watersheds_to_estuaries/13483332,2021,jan,The Smithsonian Institution,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2015_article,associated source,Article,Head-of-tide bottleneck of particulate material transport from watersheds to estuaries,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,10.1002/2015gl066830,https://doi.org/10.1002/2015gl066830,2015,dec,American Geophysical Union ({AGU}),42,24,"10,671--10,679",Geophysical Research Letters,NA,NA,NA,NA,NA,NA,NA,NA
Giblin_and_Forbrich_2018,Giblin_and_Forbrich_2018_data,primary dataset,Misc,"PIE LTER high marsh sediment chemistry and activity measurements, Nelson Island Creek marsh, Rowley, MA",Anne Giblin and Inke Forbrich and {Plum Island Ecosystems LTER},NA,10.6073/PASTA/D1D5CBF87602CCF51DE30B87B8E46D01,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-pie.427.1,2018,NA,Environmental Data Initiative,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA
Giblin_and_Forbrich_2018,Forbrich_et_al_2018_article,associated source,Article,Constraining Marsh Carbon Budgets Using Long-Term C Burial and Contemporary Atmospheric {CO}$\less$sub$\greater$2$\less$/sub$\greater$ Fluxes,I. Forbrich and A. E. Giblin and C. S. Hopkinson,NA,10.1002/2017jg004336,https://doi.org/10.1002/2017jg004336,2018,mar,American Geophysical Union ({AGU}),123,3,867--878,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,Luk_et_al_2021_article,associated source,Article,Soil Organic Carbon Development and Turnover in Natural and Disturbed Salt Marsh Environments,Sheron Y. Luk and Katherine Todd-Brown and Meagan Eagle and Ann P. McNichol and Jonathan Sanderman and Kelsey Gosselin and Amanda C. Spivak,NA,10.1029/2020gl090287,https://doi.org/10.1029/2020gl090287,2021,jan,American Geophysical Union ({AGU}),48,2,NA,Geophysical Research Letters,NA,NA,NA,NA,NA,NA,NA,NA
Luk_et_al_2020,Spivak_2020_data,primary dataset,Misc,Bulk soil and elemental properties of marsh and infilled pond soils collected in 2014-2015 within Plum Island Ecosystems LTER,Amanda Spivak,NA,10.26008/1912/BCO-DMO.827298.1,https://hdl.handle.net/1912/26379,2020,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA
Luk_et_al_2020,Luk_et_al_2020_data,primary dataset,Misc,"Collection, analysis, and age-dating of sediment cores from a salt marsh platform and ponds, Rowley, Massachusetts, 2014-15",Sheron Luk and Amanda Spivak and Meagan J Eagle and Jennifer A {O'keefe Suttles},NA,10.5066/P9HIOWKT,https://www.sciencebase.gov/catalog/item/5fb41153d34eb413d5e0af37,2020,NA,U.S. Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrill_1999,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merrill_1999,Merrill_1999_phdthesis,synthesis source,PhdThesis,Tidal Freshwater Marshes as Nutrient Sinks: Particulate Nutrient Burial and Denitrification,J Z Merrill,"University of Maryland, College Park",NA,https://elibrary.ru/item.asp?id=5305392,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neubauer_2002,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neubauer_2002,Neubauer_2002_article,synthesis source,Article,Sediment Deposition and Accretion in a Mid-Atlantic (U.S.A.) Tidal Freshwater Marsh,S.C. Neubauer and I.C. Anderson and J.A. Constantine and S.A. Kuehl,NA,10.1006/ecss.2001.0854,https://doi.org/10.1006/ecss.2001.0854,2002,apr,Elsevier {BV},54,4,713--727,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA
Orson_1990,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,2018,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orson_1990,Orson_1990_article,synthesis source,Article,Rates of Sediment Accumulation in a Tidal Freshwater Marsh,Robert L. Sim {Richard A. Orson (2)},NA,10.1306/d4267631-2b26-11d7-8648000102c1865d,https://doi.org/10.1306/d4267631-2b26-11d7-8648000102c1865d,1990,NA,Society for Sedimentary Geology,NA,NA,NA,{SEPM} Journal of Sedimentary Research,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Peck_et_al_2020_data,primary dataset,Misc,"Dataset: Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, U.S.A.",Erin Peck and Robert Wheatcroft and Laura Brophy,NA,10.25573/SERC.11317820.V2,https://smithsonian.figshare.com/articles/Dataset_Controls_on_sediment_accretion_and_blue_carbon_burial_in_tidal_saline_wetlands_Insights_from_the_Oregon_coast_U_S_A_/11317820/2,2020,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,Peck_et_al_2020_article,associated source,Article,"Controls on Sediment Accretion and Blue Carbon Burial in Tidal Saline Wetlands: Insights From the Oregon Coast, {USA}",Erin K. Peck and Robert A. Wheatcroft and Laura S. Brophy,NA,10.1029/2019jg005464,https://doi.org/10.1029/2019jg005464,2020,feb,American Geophysical Union ({AGU}),125,2,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_2018_mastersthesis,synthesis source,MastersThesis,An Ecogeomorphic Model to Assess the Response of Padilla Bay's Eelgrass Habitat to Sea Level Rise,KL Poppe,Western Washington University,NA,https://cedar.wwu.edu/wwuet/458/,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_article,synthesis source,Article,Carbon Sequestration in a Pacific Northwest Eelgrass (Zostera marina) Meadow,KL Poppe and JM Rybczyk,NA,10.3955/046.092.0202,https://doi.org/10.3955/046.092.0202,2018,NA,NA,92,2,NA,Northwest Science,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2022_article,synthesis source,Article,Assessing the future of an intertidal seagrass meadow in response to sea level rise with a hybrid ecogeomorphic model of elevation change,KL Poppe and JM Rybczyk,NA,10.1016/j.ecolmodel.2022.109975,https://doi.org/10.1016/j.ecolmodel.2022.109975,2022,NA,NA,NA,NA,NA,Ecological Modeling,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Prentice_et_al_2020_article,synthesis source,Article,"A Synthesis of Blue Carbon Stocks, Sources, and Accumulation Rates in Eelgrass (Zostera marina) Meadows in the Northeast Pacific",C Prentice and KL Poppe and M Lutz and E Murray and TA Stephens and A Spooner and M Hessing_Lewis and R Sanders_Smith and JM Rybczyk and J Apple and FT Short,NA,10.1029/2019GB006345,https://doi.org/10.1029/2019GB006345,2020,NA,NA,NA,NA,NA,Global Biogeochemical Cycles,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2021_article,synthesis source,Article,"Tidal marsh restoration enhances sediment accretion and carbon accumulation in the Stillaguamish River estuary, Washington",KL Poppe and JM Rybczyk,NA,10.1371/journal.pone.0257244,https://doi.org/10.1371/journal.pone.0257244,2021,NA,NA,NA,NA,NA,Plos One,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2019,Crooks_et_al_2014_techreport,synthesis source,TechReport,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,NA,10.13140/RG.2.1.1371.6568,doi.org/10.13140/RG.2.1.1371.6568,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western Washington University,NA,NA,NA,NA
Poppe_et_al_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_et_al_2015_data,primary dataset,Misc,Wetland paleoecological study of southwest coastal Louisiana: sediment cores and diatom calibration dataset,Kathryn E. L. Smith and James G. Flocks and Gregory D. Steyer and Sarai C. Piazza,NA,10.3133/ds877,https://doi.org/10.3133/ds877,2015,NA,{US} Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_2012_phdthesis,associated source,PhdThesis,"PALEOECOLOGICAL STUDY OF COASTAL MARSH IN THE CHENIER PLAIN, LOUISIANA: INVESTIGATING THE DIATOM COMPOSITION OF HURRICANE-DEPOSITED SEDIMENTS AND A DIATOM-BASED QUANTITATIVE RECONSTRUCTION OF SEA-LEVEL CHARACTERISTICS",Kathryn E.L. Smith,University of Florida,NA,https://ufdc.ufl.edu/UFE0044969/00001/pdf,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992_data,primary dataset,Misc,Dataset: Accretion rates of low intertidal salt marshes in the Pacific Northwest,Ronald M. Thom,NA,10.25573/DATA.10046189,https://smithsonian.figshare.com/articles/Dataset_Accretion_rates_of_low_intertidal_salt_marshes_in_the_Pacific_Northwest/10046189,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992_article,associated source,Article,Accretion rates of low intertidal salt marshes in the Pacific Northwest,Ronald M. Thom,NA,10.1007/bf03160603,https://doi.org/10.1007/bf03160603,1992,dec,Springer Science and Business Media {LLC},12,3,147--156,Wetlands,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,Vaughn_et_al_2021_data,primary dataset,Misc,{Dataset: Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones},Derrick Vaughn and Thomas Bianchi and Michael Shields and William Kenney and Todd Osborne,NA,10.25573/serc.10552004.v2,https://smithsonian.figshare.com/articles/dataset/Dataset_Increased_Organic_Carbon_Burial_in_Northern_Florida_Mangrove-Salt_Marsh_Transition_Zones/10552004,2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,Vaughn_et_al_2020_article,associated source,Article,Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones,Derrick R. Vaughn and Thomas S. Bianchi and Michael R. Shields and William F. Kenney and Todd Z. Osborne,NA,10.1029/2019GB006334,https://doi.org/10.1029/2019GB006334,2020,NA,NA,NA,NA,NA,Global Biogeochemical Cycles,NA,NA,NA,NA,NA,NA,NA,NA
Weston_et_al_2020,Weston_et_al_2022_data,primary dataset,Misc,Dataset: Recent Acceleration of Coastal Wetland Accretion Along the U.S. East Coast,"Nathaniel B Weston and Elise Rodriguez and Brian Donnelly and Elena Solohin and Kristen Jezycki and Sandra Demberger 
                             and Lori Sutter and James T. Morris and Scott C. Neubauer and Christopher B Craft",NA,10.25573/serc.13043054.v1,https://smithsonian.figshare.com/articles/dataset/Dataset_Recent_Acceleration_of_Coastal_Wetland_Accretion_Along_the_U_S_East_Coast/13043054,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weston_et_al_2020,Weston_et_al_2023_article,associated source,Article,Recent Acceleration of Wetland Accretion and Carbon Accumulation Along the U.S. East Coast,Nathaniel B. Weston and Elise Rodriguez and Brian Donnelly and Elena Solohin and Kristen Jezycki and Sandra Demberger and Lori A. Sutter and James T. Morris and Scott C. Neubauer and Christopher B. Craft,NA,10.1029/2022ef003037,https://doi.org/10.1029/2022ef003037,2023,mar,American Geophysical Union ({AGU}),11,3,NA,Earth{\textquotesingle}s Future,NA,NA,NA,NA,NA,NA,NA,NA
